# go test -run='^$' -bench=. -benchmem -benchtime=200ms -count=10 ./roaring_bitmaps/bench
# ROARING_N=200000 (default), amd64 AVX-512, GOEXPERIMENT=simd, packed containers


goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkAnd/version=v1/data=runs-24             	    8696	     25919 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs-24             	    9610	     26009 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs-24             	   10000	     27368 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=runs-24             	    9331	     25757 ns/op	  143776 B/op	      39 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     297	    768029 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     276	    855079 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     318	    764081 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     289	    797303 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     290	    797882 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     294	    756254 ns/op	  569115 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     326	    703475 ns/op	  569114 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     303	    792520 ns/op	  569114 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     267	    810039 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v1/data=zipf-24             	     312	    746742 ns/op	  569113 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      48	   5390484 ns/op	 2468381 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      42	   5315757 ns/op	 2468051 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      40	   5015719 ns/op	 2468052 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      39	   6323639 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      48	   5695290 ns/op	 2468050 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      39	   5571534 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      55	   4330133 ns/op	 2468050 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      44	   4575160 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      63	   4041805 ns/op	 2468049 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=sparse-24           	      45	   5061137 ns/op	 2468053 B/op	   65239 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  174750	      1483 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  176900	      1364 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  190065	      1450 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  202086	      1354 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  194480	      1465 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  177202	      1614 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  134138	      1726 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  141163	      1636 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  129546	      1586 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=runs-24             	  133537	      1499 ns/op	    2496 B/op	      33 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     282	    749737 ns/op	  621305 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     336	    689077 ns/op	  621306 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     354	    666678 ns/op	  621306 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     315	    708092 ns/op	  621306 B/op	    6543 allocs/op
BenchmarkAnd/version=v2/data=zipf-24             	     331	    735002 ns/op	  621306 B/op	    6543 allocs/op
