goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
BenchmarkSIMDOr/simd=off/data=runs-24                 	    8251	     36533 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    6025	     36916 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    6920	     33962 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    6705	     31129 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=runs-24                 	    7719	     31884 ns/op	   99456 B/op	      33 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      49	   4578382 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      60	   4169660 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      61	   4072643 ns/op	 1212387 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      60	   4020167 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      50	   4099106 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      50	   4229981 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      49	   4364485 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      55	   4406738 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      51	   4159805 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDOr/simd=off/data=zipf-24                 	      50	   4128685 ns/op	 1212384 B/op	    7245 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      25	   9683358 ns/op	 4115939 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      25	   9644854 ns/op	 4115937 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      24	   9750154 ns/op	 4115938 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      26	   8624614 ns/op	 4115939 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      22	  10270048 ns/op	 4115944 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      27	   8710538 ns/op	 4115940 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      25	   9348146 ns/op	 4115938 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      25	   8922833 ns/op	 4116159 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      25	   9820822 ns/op	 4115937 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=sparse-24           	      24	   9712846 ns/op	 4115942 B/op	   65424 allocs/op
BenchmarkSIMDAndNot/simd=off/data=runs-24             	    6571	     33063 ns/op	   99456 B/op	      33 allocs/op
