goos: linux
goarch: amd64
pkg: goalgo/roaring_bitmaps/bench
cpu: AMD Ryzen AI 9 HX PRO 370 w/ Radeon 890M       
,./roaring_bitmaps/bench_results_count10.txt,
,sec/op,CI
,./roaring_bitmaps/bench_results_count10.txt,
,bytes/value,CI
Memory/runopt=off/data=sparse-24,15,0%
Memory/runopt=off/data=runs-24,0.5378,0%
Memory/runopt=off/data=zipf-24,2.094,0%
Memory/runopt=on/data=sparse-24,15,0%
Memory/runopt=on/data=runs-24,0.01276,0%
Memory/runopt=on/data=zipf-24,0.2007,0%
SerializedSize/codec=raw/data=sparse-24,4,0%
SerializedSize/codec=roaring/data=sparse-24,3.308,0%
SerializedSize/codec=raw/data=runs-24,4,0%
SerializedSize/codec=roaring/data=runs-24,0.008026,0%
SerializedSize/codec=raw/data=zipf-24,4,0%
SerializedSize/codec=roaring/data=zipf-24,0.1397,0%
geomean,0.8556607082007983,

,./roaring_bitmaps/bench_results_count10.txt,
,aux-bytes/value,CI
Rank/method=array/data=sparse-24,4,0%
Rank/method=roaring/data=sparse-24,1.308,0%
Rank/method=array/data=runs-24,4,0%
Rank/method=roaring/data=runs-24,0.0005632,0%
Rank/method=array/data=zipf-24,4,0%
Rank/method=roaring/data=zipf-24,0.0148,0%
Select/method=array/data=sparse-24,4,0%
Select/method=roaring/data=sparse-24,1.308,0%
Select/method=array/data=runs-24,4,0%
Select/method=roaring/data=runs-24,0.0005632,0%
Select/method=array/data=zipf-24,4,0%
Select/method=roaring/data=zipf-24,0.0148,0%
geomean,0.2978187340682821,
